Range	N_total	Folds	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	189	5	0.8363±0.0629	0.9141±0.0498	0.2733±0.1971	0.8299±0.0650	0.9783±0.0098	0.9073±0.0399	0.1468±0.1587
11-15	677	5	0.8133±0.0198	0.8523±0.0225	0.6149±0.0737	0.8571±0.0286	0.9697±0.0053	0.8839±0.0108	0.4148±0.0880
16-20	539	5	0.8176±0.0185	0.8589±0.0285	0.6823±0.1193	0.8880±0.0156	0.9614±0.0068	0.8745±0.0107	0.5267±0.0951
21-25	424	5	0.8652±0.0298	0.8915±0.0208	0.7936±0.0990	0.9322±0.0186	0.9759±0.0061	0.9068±0.0197	0.6640±0.0861
26-30	459	5	0.8980±0.0309	0.9162±0.0296	0.8737±0.0761	0.9697±0.0117	0.9837±0.0059	0.9188±0.0226	0.7836±0.0707
31-35	622	5	0.9502±0.0220	0.9430±0.0292	0.9549±0.0228	0.9923±0.0032	0.9916±0.0038	0.9469±0.0247	0.8995±0.0438
36-40	619	5	0.9480±0.0159	0.9205±0.0371	0.9667±0.0066	0.9930±0.0031	0.9909±0.0041	0.9355±0.0215	0.8921±0.0327
41-45	405	5	0.9400±0.0279	0.8883±0.0353	0.9655±0.0320	0.9846±0.0110	0.9764±0.0160	0.9096±0.0326	0.8658±0.0558
46-50	400	5	0.9675±0.0126	0.9386±0.0418	0.9776±0.0211	0.9933±0.0067	0.9807±0.0251	0.9415±0.0215	0.9197±0.0283
51-55	278	5	0.9521±0.0221	0.9125±0.0567	0.9749±0.0129	0.9831±0.0149	0.9769±0.0191	0.9375±0.0313	0.8999±0.0466
56-60	289	5	0.9619±0.0266	0.9531±0.0278	0.9762±0.0298	0.9937±0.0072	0.9958±0.0055	0.9668±0.0269	0.9205±0.0525
61-65	494	5	0.9759±0.0098	0.9719±0.0146	0.9872±0.0157	0.9982±0.0013	0.9994±0.0004	0.9829±0.0071	0.9423±0.0217
66-70	434	5	0.9763±0.0198	0.9709±0.0387	0.9866±0.0111	0.9933±0.0117	0.9964±0.0058	0.9779±0.0167	0.9536±0.0375
71-75	386	5	0.9733±0.0187	0.9717±0.0227	0.9750±0.0234	0.9965±0.0034	0.9976±0.0024	0.9765±0.0164	0.9460±0.0377
76-80	389	5	0.9643±0.0163	0.9674±0.0348	0.9592±0.0154	0.9876±0.0091	0.9913±0.0059	0.9673±0.0162	0.9287±0.0320
81-85	426	5	0.9681±0.0212	0.9775±0.0283	0.9525±0.0623	0.9963±0.0046	0.9973±0.0037	0.9723±0.0181	0.9355±0.0429
86-90	436	5	0.9840±0.0165	0.9699±0.0270	0.9957±0.0087	0.9957±0.0065	0.9966±0.0043	0.9823±0.0172	0.9681±0.0327
91-95	413	5	0.9729±0.0166	0.9450±0.0362	0.9917±0.0102	0.9960±0.0027	0.9951±0.0032	0.9653±0.0219	0.9440±0.0346
96-100	452	5	0.9557±0.0063	0.9391±0.0255	0.9638±0.0160	0.9864±0.0114	0.9609±0.0468	0.9325±0.0114	0.9003±0.0153
101-105	395	5	0.9462±0.0194	0.9048±0.0300	0.9613±0.0294	0.9700±0.0173	0.9282±0.0607	0.9117±0.0228	0.8735±0.0375
106-110	378	5	0.9650±0.0179	0.9277±0.0535	0.9811±0.0109	0.9909±0.0046	0.9832±0.0093	0.9387±0.0279	0.9150±0.0398
Overall	9104	5	0.9323±0.0065	0.9239±0.0074	0.9418±0.0054	0.9841±0.0028	0.9864±0.0020	0.9353±0.0057	0.8647±0.0130
