Range	N_total	Folds	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	189	5	0.8745±0.0335	0.9825±0.0144	0.0000±0.0000	0.6902±0.1243	0.9502±0.0312	0.9327±0.0190	-0.0284±0.0238
11-15	677	5	0.8383±0.0302	0.9801±0.0222	0.1224±0.0799	0.8227±0.0226	0.9599±0.0108	0.9097±0.0183	0.1931±0.1638
16-20	539	5	0.8036±0.0357	0.9515±0.0324	0.3756±0.0673	0.8470±0.0249	0.9441±0.0084	0.8763±0.0297	0.4261±0.0356
21-25	424	5	0.8092±0.0183	0.8672±0.0475	0.6454±0.1007	0.8785±0.0084	0.9553±0.0070	0.8696±0.0130	0.5149±0.0673
26-30	459	5	0.8551±0.0259	0.8753±0.0412	0.8299±0.0593	0.9450±0.0145	0.9690±0.0116	0.8820±0.0271	0.6977±0.0472
31-35	622	5	0.9369±0.0108	0.9359±0.0263	0.9405±0.0143	0.9860±0.0055	0.9852±0.0062	0.9331±0.0126	0.8734±0.0221
36-40	619	5	0.9192±0.0320	0.8524±0.0545	0.9659±0.0226	0.9852±0.0072	0.9808±0.0098	0.8979±0.0417	0.8345±0.0653
41-45	405	5	0.9161±0.0200	0.8347±0.0260	0.9564±0.0148	0.9831±0.0069	0.9698±0.0108	0.8667±0.0297	0.8063±0.0422
46-50	400	5	0.9199±0.0447	0.9481±0.0488	0.9084±0.0658	0.9752±0.0150	0.9367±0.0450	0.8661±0.0745	0.8189±0.0943
51-55	278	5	0.9166±0.0292	0.9153±0.0591	0.9135±0.0354	0.9732±0.0205	0.9650±0.0335	0.8958±0.0490	0.8269±0.0663
56-60	289	5	0.9480±0.0173	0.9476±0.0315	0.9439±0.0341	0.9890±0.0068	0.9936±0.0058	0.9564±0.0203	0.8894±0.0315
61-65	494	5	0.9517±0.0222	0.9587±0.0255	0.9372±0.0320	0.9936±0.0017	0.9976±0.0007	0.9662±0.0157	0.8828±0.0519
66-70	434	5	0.9606±0.0099	0.9567±0.0214	0.9682±0.0288	0.9915±0.0066	0.9923±0.0063	0.9619±0.0081	0.9216±0.0194
71-75	386	5	0.9550±0.0175	0.9767±0.0145	0.9265±0.0340	0.9804±0.0147	0.9733±0.0261	0.9607±0.0147	0.9090±0.0355
76-80	389	5	0.9228±0.0191	0.9677±0.0104	0.8665±0.0378	0.9791±0.0145	0.9816±0.0139	0.9328±0.0165	0.8455±0.0371
81-85	426	5	0.9445±0.0290	0.9727±0.0283	0.9007±0.0620	0.9875±0.0084	0.9903±0.0064	0.9533±0.0234	0.8846±0.0618
86-90	436	5	0.9467±0.0180	0.9598±0.0281	0.9386±0.0341	0.9913±0.0069	0.9918±0.0049	0.9400±0.0226	0.8942±0.0352
91-95	413	5	0.9267±0.0219	0.9270±0.0137	0.9260±0.0431	0.9790±0.0071	0.9770±0.0084	0.9107±0.0227	0.8502±0.0411
96-100	452	5	0.9051±0.0278	0.8573±0.0263	0.9297±0.0433	0.9352±0.0195	0.9052±0.0503	0.8558±0.0407	0.7876±0.0633
101-105	395	5	0.9126±0.0204	0.8727±0.0158	0.9287±0.0231	0.9422±0.0193	0.8984±0.0456	0.8577±0.0096	0.7940±0.0283
106-110	378	5	0.9313±0.0305	0.9233±0.0788	0.9355±0.0225	0.9800±0.0162	0.9618±0.0256	0.8862±0.0415	0.8389±0.0649
Overall	9104	5	0.9070±0.0045	0.9331±0.0080	0.8778±0.0077	0.9712±0.0022	0.9745±0.0022	0.9139±0.0038	0.8137±0.0094
