ID,Prediction
Q9NZ45,OTHER
Q6NE51,OTHER
P0DQQ5,OTHER
Q6UWS5,OTHER
Q33093,OTHER
P85040,OTHER
Q96VG0,OTHER
Q9LX34,OTHER
P83230,OTHER
P81266,OTHER
P18046,OTHER
Q31AA8,OTHER
Q29539,OTHER
P19640,OTHER
P21988,OTHER
P0DUT4,SP
P22950,OTHER
P14539,OTHER
P82312,OTHER
P83563,SP
P0DX58,OTHER
Q8LW54,OTHER
P0C7N3,OTHER
C0HLQ6,OTHER
C0HJH4,OTHER
C7J4U3,OTHER
P48757,SP
P0DL04,OTHER
P86512,OTHER
B8HUV5,OTHER
P0CY41,OTHER
P82288,OTHER
P46066,OTHER
Q9KAJ2,OTHER
P9WGF1,OTHER
P34034,OTHER
P0CJ35,OTHER
P35096,OTHER
P24341,OTHER
O07628,OTHER
Q32766,OTHER
P0DSJ9,SP
P40836,OTHER
P0DL27,OTHER
P83658,OTHER
A0A0B4J2F0,OTHER
A0T0R3,OTHER
O87237,OTHER
P81080,OTHER
C4YTL7,OTHER
P82410,OTHER
P46988,OTHER
A9XE60,SP
Q3E7X9,OTHER
P0C7Q2,OTHER
O75964,OTHER
P0CAR4,OTHER
P0DPL8,SP
P74977,SP
Q06R73,OTHER
P85870,OTHER
B1AUS7,OTHER
Q2FZE2,OTHER
P49820,OTHER
Q9P7G3,OTHER
P09340,SP
P31233,OTHER
P14535,OTHER
P84939,OTHER
Q2PMN9,OTHER
P0C844,OTHER
P41791,OTHER
P0DQN0,OTHER
A4QLN8,OTHER
P0DUK4,OTHER
B3EWN2,OTHER
Q9TBI8,OTHER
P48367,OTHER
P80265,OTHER
Q8Z0F9,OTHER
Q8IVG9,OTHER
C0HJY9,OTHER
P24311,OTHER
Q9MQK2,OTHER
P19154,OTHER
D5J6X1,SP
Q9TLZ0,OTHER
P65566,OTHER
D2Y168,SP
P80840,OTHER
Q5SD12,OTHER
P06390,OTHER
B3EWX3,OTHER
P83504,OTHER
P0DRB2,OTHER
Q32759,OTHER
P0DUR2,OTHER
Q85FY3,OTHER
