Pfam_ID	CDI_count	CDI_all	CTR_count	CTR_all
pfam01551	37	4012	28	1769
pfam06013	62	4012	28	1769
pfam00395	252	4012	174	1769
pfam03544	3	4012	3	1769
pfam13186	22	4012	19	1769
pfam13424	6	4012	3	1769
pfam16344	262	4012	137	1769
pfam09719	16	4012	5	1769
pfam14478	50	4012	22	1769
pfam14343	28	4012	21	1769
pfam01476	135	4012	54	1769
pfam07833	32	4012	10	1769
pfam08239	96	4012	44	1769
pfam07553	30	4012	11	1769
pfam09221	3	4012	0	1769
pfam12796	2	4012	0	1769
pfam13637	2	4012	2	1769
pfam00404	76	4012	60	1769
pfam15542	4	4012	0	1769
pfam00874	37	4012	9	1769
pfam13539	13	4012	3	1769
pfam19127	256	4012	99	1769
pfam04977	90	4012	41	1769
pfam10825	4	4012	0	1769
pfam03793	142	4012	52	1769
pfam19085	47	4012	17	1769
pfam20096	3	4012	0	1769
pfam13653	76	4012	31	1769
pfam07338	98	4012	2	1769
pfam15495	14	4012	5	1769
pfam02080	13	4012	8	1769
pfam03895	9	4012	1	1769
pfam01510	24	4012	11	1769
pfam07486	42	4012	34	1769
pfam07538	19	4012	11	1769
pfam01471	72	4012	39	1769
pfam07009	4	4012	2	1769
pfam14285	8	4012	5	1769
pfam00877	54	4012	16	1769
pfam09458	4	4012	1	1769
pfam13946	1	4012	3	1769
pfam06737	3	4012	0	1769
pfam01473	100	4012	37	1769
pfam07719	7	4012	4	1769
pfam13193	8	4012	10	1769
pfam04205	68	4012	36	1769
pfam18612	2	4012	0	1769
pfam13487	2	4012	0	1769
pfam09374	14	4012	5	1769
pfam17189	5	4012	3	1769
pfam08230	14	4012	5	1769
pfam13374	2	4012	1	1769
pfam03217	2	4012	0	1769
pfam12836	54	4012	20	1769
pfam00633	48	4012	19	1769
pfam18708	3	4012	0	1769
pfam13180	17	4012	7	1769
pfam17820	15	4012	4	1769
pfam14520	25	4012	5	1769
pfam12838	19	4012	17	1769
pfam13237	22	4012	15	1769
pfam00037	2	4012	2	1769
pfam13187	24	4012	20	1769
pfam18956	2	4012	0	1769
pfam10135	4	4012	2	1769
pfam17161	1	4012	0	1769
pfam14501	23	4012	12	1769
pfam00619	1	4012	0	1769
pfam06429	19	4012	5	1769
