Pfam_ID	CDI_count	CDI_all	CTR_count	CTR_all	CDI_prop	CTR_prop	fold_change	p_fisher	p_chi2	p_adjusted_fisher	p_adjusted_chi2
pfam01551	37	4012	28	1769	0.009222333000997	0.0158281514980214	0.5826538242415611	0.030827334811607	0.0394140782654424	1.0	1.0
pfam06013	62	4012	28	1769	0.0154536390827517	0.0158281514980214	0.9763388406209942	0.9085559810347402	1.0	1.0	1.0
pfam00395	252	4012	174	1769	0.0628115653040877	0.0983606557377049	0.6385842472582254	3.193889178919652e-06	2.44250725543093e-06	0.0014468317980506024	0.0011064557867102114
pfam03544	3	4012	3	1769	0.0007477567298105	0.001695873374788	0.4409272183449651	0.3784056853831799	0.5561780348372423	1.0	1.0
pfam13186	22	4012	19	1769	0.0054835493519441	0.0107405313736574	0.5105473054520648	0.0396342117300256	0.0428727454508219	1.0	1.0
pfam13424	6	4012	3	1769	0.0014955134596211	0.001695873374788	0.8818544366899302	1.0	1.0	1.0	1.0
pfam16344	262	4012	137	1769	0.0653040877367896	0.0774448841153193	0.8432330744991303	0.1024053566676953	0.104831170434231	1.0	1.0
pfam09719	16	4012	5	1769	0.003988035892323	0.0028264556246466	1.4109670987038885	0.6378700905940865	0.6604347785091194	1.0	1.0
pfam14478	50	4012	22	1769	0.0124626121635094	0.0124364047484454	1.0021073144203752	1.0	1.0	1.0	1.0
pfam14343	28	4012	21	1769	0.0069790628115653	0.0118711136235161	0.5879029577932868	0.085243138809433	0.0865106250841301	1.0	1.0
pfam01476	135	4012	54	1769	0.0336490528414755	0.0305257207461842	1.1023180458624129	0.574841147829521	0.5925501629704492	1.0	1.0
pfam07833	32	4012	10	1769	0.007976071784646	0.0056529112492933	1.4109670987038885	0.4027413900926546	0.4292660612609397	1.0	1.0
pfam08239	96	4012	44	1769	0.0239282153539381	0.0248728094968909	0.9620230218435604	0.8527980338396786	0.9025247778325453	1.0	1.0
pfam07553	30	4012	11	1769	0.0074775672981056	0.0062182023742227	1.2025287773044502	0.734181786585296	0.7220031329172711	1.0	1.0
pfam09221	3	4012	0	1769	0.0007477567298105	0.0	inf	0.5577384621858994	0.600393309991738	1.0	1.0
pfam12796	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam13637	2	4012	2	1769	0.0004985044865403	0.0011305822498586	0.4409272183449651	0.5907537171721371	0.7645186328638613	1.0	1.0
pfam00404	76	4012	60	1769	0.0189431704885343	0.0339174674957603	0.5585078099036225	0.0009050893570461	0.0007583658892972	0.4100054787418833	0.3435397478516316
pfam15542	4	4012	0	1769	0.0009970089730807	0.0	inf	0.3201000657857301	0.4319727410943237	1.0	1.0
pfam00874	37	4012	9	1769	0.009222333000997	0.005087620124364	1.8127007865293008	0.1103743586124289	0.141567527602954	1.0	1.0
pfam13539	13	4012	3	1769	0.0032402791625124	0.001695873374788	1.9106846128281825	0.4189713195476441	0.4482120005552498	1.0	1.0
pfam19127	256	4012	99	1769	0.0638085742771684	0.0559638213680045	1.1401754332960714	0.259376816119668	0.2777137103360455	1.0	1.0
pfam04977	90	4012	41	1769	0.022432701894317	0.0231769361221028	0.9678890158791918	0.8483881624101612	0.9367657621711156	1.0	1.0
pfam10825	4	4012	0	1769	0.0009970089730807	0.0	inf	0.3201000657857301	0.4319727410943237	1.0	1.0
pfam03793	142	4012	52	1769	0.0353938185443669	0.0293951384963256	1.204070480865097	0.267432022977962	0.2766526410347293	1.0	1.0
pfam19085	47	4012	17	1769	0.0117148554336989	0.0096099491237987	1.2190340742478447	0.5855018328455146	0.5697083583195197	1.0	1.0
pfam20096	3	4012	0	1769	0.0007477567298105	0.0	inf	0.5577384621858994	0.600393309991738	1.0	1.0
pfam13653	76	4012	31	1769	0.0189431704885343	0.0175240248728094	1.0809828578779788	0.7518438214442256	0.792513250313264	1.0	1.0
pfam07338	98	4012	2	1769	0.0244267198404785	0.0011305822498586	21.60543369890329	1.4263544924783338e-13	7.691332755536612e-10	6.461385850926852e-11	3.484173738258085e-07
pfam15495	14	4012	5	1769	0.0034895314057826	0.0028264556246466	1.234596211365902	0.8067115728064866	0.8755606214516403	1.0	1.0
pfam02080	13	4012	8	1769	0.0032402791625124	0.0045223289994347	0.7165067298105684	0.4796630714768854	0.610419297392002	1.0	1.0
pfam03895	9	4012	1	1769	0.0022432701894317	0.0005652911249293	3.9683449651046874	0.30052828047038	0.2839738278009747	1.0	1.0
pfam01510	24	4012	11	1769	0.0059820538384845	0.0062182023742227	0.9620230218435604	1.0	1.0	1.0	1.0
pfam07486	42	4012	34	1769	0.0104685942173479	0.0192198982475975	0.5446747991320158	0.011587498826961	0.0102650207442781	1.0	1.0
pfam07538	19	4012	11	1769	0.0047357926221335	0.0062182023742227	0.7616015589594851	0.5512494979663414	0.6000716314975625	1.0	1.0
pfam01471	72	4012	39	1769	0.0179461615154536	0.0220463538722442	0.8140194800214741	0.2993399553290623	0.3457351785841065	1.0	1.0
pfam07009	4	4012	2	1769	0.0009970089730807	0.0011305822498586	0.8818544366899302	1.0	1.0	1.0	1.0
pfam14285	8	4012	5	1769	0.0019940179461615	0.0028264556246466	0.7054835493519441	0.5531152485287111	0.753141628244868	1.0	1.0
pfam00877	54	4012	16	1769	0.0134596211365902	0.0090446579988694	1.4881293619142573	0.1915563379204884	0.1991729717878143	1.0	1.0
pfam09458	4	4012	1	1769	0.0009970089730807	0.0005652911249293	1.7637088733798605	1.0	0.9767546225839944	1.0	1.0
pfam13946	1	4012	3	1769	0.0002492522432701	0.001695873374788	0.1469757394483216	0.0882362517867334	0.1660753838183525	1.0	1.0
pfam06737	3	4012	0	1769	0.0007477567298105	0.0	inf	0.5577384621858994	0.600393309991738	1.0	1.0
pfam01473	100	4012	37	1769	0.0249252243270189	0.0209157716223855	1.191695184716122	0.3987489243290782	0.4066689632270713	1.0	1.0
pfam07719	7	4012	4	1769	0.0017447657028913	0.0022611644997173	0.771622632103689	0.7453833446345158	0.9300838648989356	1.0	1.0
pfam13193	8	4012	10	1769	0.0019940179461615	0.0056529112492933	0.352741774675972	0.0363011609374363	0.0408585762324246	1.0	1.0
pfam04205	68	4012	36	1769	0.0169491525423728	0.0203504804974561	0.8328625235404896	0.3905714042735577	0.4299498529299185	1.0	1.0
pfam18612	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam13487	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam09374	14	4012	5	1769	0.0034895314057826	0.0028264556246466	1.234596211365902	0.8067115728064866	0.8755606214516403	1.0	1.0
pfam17189	5	4012	3	1769	0.0012462612163509	0.001695873374788	0.7348786972416085	0.7069175350815782	0.9681667773862548	1.0	1.0
pfam08230	14	4012	5	1769	0.0034895314057826	0.0028264556246466	1.234596211365902	0.8067115728064866	0.8755606214516403	1.0	1.0
pfam13374	2	4012	1	1769	0.0004985044865403	0.0005652911249293	0.8818544366899302	1.0	1.0	1.0	1.0
pfam03217	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam12836	54	4012	20	1769	0.0134596211365902	0.0113058224985867	1.1905034895314055	0.6116402663635478	0.5861806970752257	1.0	1.0
pfam00633	48	4012	19	1769	0.011964107676969	0.0107405313736574	1.113921393713596	0.7900449973104888	0.7892895274280383	1.0	1.0
pfam18708	3	4012	0	1769	0.0007477567298105	0.0	inf	0.5577384621858994	0.600393309991738	1.0	1.0
pfam13180	17	4012	7	1769	0.0042372881355932	0.0039570378745053	1.0708232445520582	1.0	1.0	1.0	1.0
pfam17820	15	4012	4	1769	0.0037387836490528	0.0022611644997173	1.653477068793619	0.4607040151326442	0.5123066213789474	1.0	1.0
pfam14520	25	4012	5	1769	0.0062313060817547	0.0028264556246466	2.2046360917248253	0.1131546023883986	0.1437995308025037	1.0	1.0
pfam12838	19	4012	17	1769	0.0047357926221335	0.0096099491237987	0.4928010087384904	0.0439524719049652	0.0466407851136135	1.0	1.0
pfam13237	22	4012	15	1769	0.0054835493519441	0.00847936687394	0.6466932535726155	0.2103866425109105	0.2553925327557698	1.0	1.0
pfam00037	2	4012	2	1769	0.0004985044865403	0.0011305822498586	0.4409272183449651	0.5907537171721371	0.7645186328638613	1.0	1.0
pfam13187	24	4012	20	1769	0.0059820538384845	0.0113058224985867	0.5291126620139581	0.0470488944212886	0.0474643138522612	1.0	1.0
pfam18956	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam10135	4	4012	2	1769	0.0009970089730807	0.0011305822498586	0.8818544366899302	1.0	1.0	1.0	1.0
pfam17161	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam14501	23	4012	12	1769	0.0057328015952143	0.006783493499152	0.8451105018278499	0.7130801583934065	0.7713428647933712	1.0	1.0
pfam00619	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam06429	19	4012	5	1769	0.0047357926221335	0.0028264556246466	1.6755234297108672	0.3781086998308284	0.4130585523551351	1.0	1.0
pfam09479	10	4012	7	1769	0.0024925224327018	0.0039570378745053	0.6298960262070931	0.4285710031761748	0.4938971466263469	1.0	1.0
pfam08797	4	4012	1	1769	0.0009970089730807	0.0005652911249293	1.7637088733798605	1.0	0.9767546225839944	1.0	1.0
pfam01627	14	4012	13	1769	0.0034895314057826	0.0073487846240814	0.4748446966791932	0.0586552829264934	0.0760672713614385	1.0	1.0
pfam13457	4	4012	0	1769	0.0009970089730807	0.0	inf	0.3201000657857301	0.4319727410943237	1.0	1.0
pfam06725	50	4012	20	1769	0.0124626121635094	0.0113058224985867	1.1023180458624129	0.7946755341982703	0.8102395939446763	1.0	1.0
pfam00700	25	4012	8	1769	0.0062313060817547	0.0045223289994347	1.377897557328016	0.5700253838943388	0.5449125075430246	1.0	1.0
pfam13619	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam18885	9	4012	2	1769	0.0022432701894317	0.0011305822498586	1.9841724825523432	0.5208375202273023	0.5706041653396975	1.0	1.0
pfam12408	6	4012	1	1769	0.0014955134596211	0.0005652911249293	2.645563310069791	0.6832558985951522	0.5982706483275138	1.0	1.0
pfam14041	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam09693	66	4012	22	1769	0.0164506480558325	0.0124364047484454	1.3227816550348954	0.2942744254491237	0.3019641794824794	1.0	1.0
pfam07561	13	4012	3	1769	0.0032402791625124	0.001695873374788	1.9106846128281825	0.4189713195476441	0.4482120005552498	1.0	1.0
pfam13698	2	4012	1	1769	0.0004985044865403	0.0005652911249293	0.8818544366899302	1.0	1.0	1.0	1.0
