Disease	disease_count	disease_secret	disease_prop	ctr_count	ctr_secret	ctr_prop	fold_change	p_fisher	p_chi2	p_adjusted_fisher	p_adjusted_chi2
Graves' Disease	274	19	0.069343066	2562341	134501	0.052491452	1.321035394486706	0.2202990252636004	0.2647458582722937	1.0	1.0
ST-elevation myocardial infarction	3054	205	0.067125082	2562341	134501	0.052491452	1.278781200413355	0.0004729369747449	0.0003398305702273	0.0373620210048471	0.026846615047956702
Hypertension	1216	79	0.064967105	2562341	134501	0.052491452	1.2376701829471206	0.0536302018467235	0.0593158651426765	1.0	1.0
Subarachnoid haemorrhage; alcoholism	174	11	0.063218391	2562341	134501	0.052491452	1.204355920655424	0.4946375666619858	0.6423040994251814	1.0	1.0
cCD	992	62	0.0625	2562341	134501	0.052491452	1.1906700542404505	0.1544693260332965	0.1796066732812559	1.0	1.0
stunted growth	9236	545	0.059008229	2562341	134501	0.052491452	1.1241492995850066	0.0058135974571969	0.0054481751227201	0.4592741991185551	0.4304058346948879
Cardiac arrest; cardiomyopathy	5704	333	0.058380084	2562341	134501	0.052491452	1.1121826845254728	0.0497640645918215	0.049758663621102	1.0	1.0
Subarachnoid haemorrhage	4757	277	0.058229977	2562341	134501	0.052491452	1.109323037968163	0.0788577902607118	0.0817929235018979	1.0	1.0
CDI	119681	6862	0.057335751	2562341	134501	0.052491452	1.0922873880493913	4.468835344745406e-13	2.403377424148717e-13	3.5303799223488704e-11	1.8986681650774864e-11
IGT	24958	1426	0.057135988	2562341	134501	0.052491452	1.0884817588966675	0.0012109360910362	0.0011194907698634	0.0956639511918598	0.08843977081920859
Nonalcoholic fatty liver disease	33341	1895	0.056836928	2562341	134501	0.052491452	1.0827844503139292	0.0004722733893024	0.0004302052736127	0.0373095977548896	0.0339862166154033
hematopoietic stem cell recipients with CDAD	6126	346	0.056480575	2562341	134501	0.052491452	1.0759956687805092	0.1600007187603955	0.170830687305931	1.0	1.0
Asymptomatically colonized admitted for Gangrene	626	35	0.055910543	2562341	134501	0.052491452	1.0651361482627686	0.6544188200524181	0.7688211255159253	1.0	1.0
Chest infection	10505	584	0.055592575	2562341	134501	0.052491452	1.0590786286498608	0.1542712283345184	0.1614456014700462	1.0	1.0
Multiple trauma	15429	857	0.055544753	2562341	134501	0.052491452	1.0581675850765189	0.0922630778881262	0.0935179563070362	1.0	1.0
iCD	5903	327	0.055395562	2562341	134501	0.052491452	1.0553253889795238	0.3204780258858259	0.3320123036069654	1.0	1.0
