Pfam_ID,CDI_count,CDI_all,CTR_count,CTR_all,CDI_prop,CTR_prop,fold_change,p_fisher,p_chi2,p_adjusted_fisher,p_adjusted_chi2,Pfam
pfam07338,98,4012,2,1769,0.02442672,0.001130582,21.6054337,1.43E-13,7.69E-10,6.46E-11,3.48E-07,YdgH_BhsA-like
pfam00395,252,4012,174,1769,0.062811565,0.098360656,0.638584247,3.19E-06,2.44E-06,0.001446832,0.001106456,SLH
pfam00404,76,4012,60,1769,0.01894317,0.033917467,0.55850781,0.000905089,0.000758366,0.410005479,0.343539748,Dockerin_1
pfam16344,262,4012,137,1769,0.065304088,0.077444884,0.843233074,0.102405357,0.10483117,1,1,DUF4974
pfam19127,256,4012,99,1769,0.063808574,0.055963821,1.140175433,0.259376816,0.27771371,1,1,Choline_bind_3
pfam03793,142,4012,52,1769,0.035393819,0.029395138,1.204070481,0.267432023,0.276652641,1,1,PASTA
pfam01476,135,4012,54,1769,0.033649053,0.030525721,1.102318046,0.574841148,0.592550163,1,1,LysM
pfam01473,100,4012,37,1769,0.024925224,0.020915772,1.191695185,0.398748924,0.406668963,1,1,Choline_bind_1
pfam08239,96,4012,44,1769,0.023928215,0.024872809,0.962023022,0.852798034,0.902524778,1,1,SH3_3
pfam04977,90,4012,41,1769,0.022432702,0.023176936,0.967889016,0.848388162,0.936765762,1,1,DivIC
