Range,Accuracy,ROC_AUC,F1,MCC,Variant
101-105,0.9511900386423212,0.9686034019816189,0.9181446540880502,0.883756063773664,w/o Attention
106-110,0.9690629253557326,0.9902820527730448,0.9483734783734784,0.9266594665413013,w/o Attention
11-15,0.8466407245454274,0.8673592051946951,0.9107595254555505,0.37277275860822146,w/o Attention
16-20,0.7832100050741893,0.8623349502001634,0.8556618462117269,0.4142466316747207,w/o Attention
21-25,0.8319441785847758,0.9112456888810072,0.886430164973928,0.5606588982680056,w/o Attention
26-30,0.9128919176462263,0.9718084513711537,0.929194728380382,0.818882047006672,w/o Attention
31-35,0.9372967801848704,0.9901618516132169,0.9320116483917946,0.8732082516509635,w/o Attention
36-40,0.9509086450170813,0.9932506337478151,0.9381525654017564,0.9001672297806376,w/o Attention
41-45,0.9343550420188652,0.9870709450617705,0.8976983808376822,0.8514162670837608,w/o Attention
46-50,0.9699651971580374,0.9885399235269396,0.9450075089242189,0.9250636429118841,w/o Attention
51-55,0.9526015797442084,0.9843279276698395,0.9378661663539714,0.9007800439324785,w/o Attention
56-60,0.95874666999667,0.9951160612830098,0.9644906436358067,0.9143327875525828,w/o Attention
6-10,0.8611612124524607,0.8003214664244076,0.9243854480124503,0.03952119084291599,w/o Attention
61-65,0.9699600806313862,0.9981797881617721,0.9784902133979013,0.9306640016441843,w/o Attention
66-70,0.9739367345032104,0.9943170687802336,0.9756302723328407,0.9489341110556554,w/o Attention
71-75,0.9576209061980794,0.9889524897651331,0.9622602121034373,0.9142811343258586,w/o Attention
76-80,0.9713896893747769,0.9852367741058071,0.9742731633625858,0.9420314066078918,w/o Attention
81-85,0.9690676090526166,0.9942638493803748,0.9729525656359017,0.9370722120516174,w/o Attention
86-90,0.9771201928064673,0.9959346609379974,0.9739238674722547,0.953999571776525,w/o Attention
91-95,0.965551779976004,0.9951414860868615,0.9562206328154603,0.9297708645160029,w/o Attention
96-100,0.957749031962115,0.9877810105411647,0.9347251490647718,0.9041897130670101,w/o Attention
101-105,0.9484503126149241,0.966744473877881,0.9156505939902166,0.8786256987779655,w/o KAN
106-110,0.9568872148183921,0.9850760781181596,0.9232926332926332,0.8936145177104068,w/o KAN
11-15,0.8127010992270725,0.8672955894861467,0.8819317738689467,0.4445706801100727,w/o KAN
16-20,0.8437965376679071,0.9068260226777222,0.8918303720036128,0.6033690238034815,w/o KAN
21-25,0.855405087423099,0.9331237957595772,0.8994193257895026,0.6417857798321918,w/o KAN
26-30,0.9179560229459636,0.9697003130567532,0.935241954555544,0.8251731655505609,w/o KAN
31-35,0.9476819503904654,0.9929713976113973,0.9435723998721537,0.894619384459633,w/o KAN
36-40,0.9492692712385551,0.9927009853606539,0.9374566394875978,0.8953668338847874,w/o KAN
41-45,0.941761360457835,0.9878944089258012,0.9141082118515211,0.8699859589634219,w/o KAN
46-50,0.9778145880771959,0.9932010964318587,0.9590194015895278,0.94397847667835,w/o KAN
51-55,0.9526015797442084,0.9832320861852113,0.9383804412641622,0.9002723982349075,w/o KAN
56-60,0.9652050033300034,0.9959245991854118,0.9698963359497055,0.9274606557403796,w/o KAN
6-10,0.8503768987269705,0.8442914395487925,0.9131353191368902,0.2995338959535977,w/o KAN
61-65,0.9777136991304909,0.9979833445419455,0.9842203379674453,0.946983204241009,w/o KAN
66-70,0.976317686884163,0.9936182338950379,0.9779047011471025,0.9536012580749272,w/o KAN
71-75,0.9631061924474107,0.9962315358295315,0.9674592098223087,0.925284663536506,w/o KAN
76-80,0.9639438934940875,0.9873690714822108,0.9672654960737047,0.9274128501569381,w/o KAN
81-85,0.9798895790200138,0.9956190737228873,0.9816057704124559,0.9593571934007773,w/o KAN
86-90,0.9789403624697742,0.9953901697329531,0.9755796387520524,0.9574294776200476,w/o KAN
91-95,0.9804143488803309,0.9980073369955653,0.9751403743315507,0.95962405049154,w/o KAN
96-100,0.9572306426152538,0.9863061807116476,0.9357816715880455,0.9055082279875684,w/o KAN
101-105,0.9483873141804462,0.9681189814217795,0.9142793714222286,0.8776426713723733,w/o Multi-scale
106-110,0.9672802428429991,0.9875664515147802,0.942053872053872,0.9201751214351477,w/o Multi-scale
11-15,0.8156822947626168,0.8562743780948745,0.8862060166024378,0.40678992810273407,w/o Multi-scale
16-20,0.8241102358611991,0.8926479991071306,0.878884394922461,0.5528614802787476,w/o Multi-scale
21-25,0.8760648987927102,0.9336999907704666,0.914931502931503,0.6842165826389948,w/o Multi-scale
26-30,0.9106759867983933,0.970262965290733,0.9306915144656008,0.808671088440005,w/o Multi-scale
31-35,0.949510094525085,0.9933969957989526,0.9456915252532132,0.8981465121639622,w/o Multi-scale
36-40,0.9592833529012343,0.9934364285435688,0.9498404977151633,0.9161212249466724,w/o Multi-scale
41-45,0.9396230377047445,0.9870257002889303,0.9102625075850103,0.8652092302625224,w/o Multi-scale
46-50,0.9726318638247042,0.9925918602342664,0.9498855577047067,0.931666131545793,w/o Multi-scale
51-55,0.9589491443424926,0.9850036233473733,0.9446498599439777,0.9136443357520001,w/o Multi-scale
56-60,0.9688061938061938,0.9944254510941353,0.9717558244014988,0.9363057955398144,w/o Multi-scale
6-10,0.8465031541071714,0.8559561347061347,0.9118384120329104,0.29289150528221375,w/o Multi-scale
61-65,0.9777136991304909,0.9981336470952762,0.9842203379674453,0.946983204241009,w/o Multi-scale
66-70,0.9785648778953988,0.9932583854101894,0.9806444271744998,0.9581924565995749,w/o Multi-scale
71-75,0.9680200501253132,0.9964998052742852,0.9718019944948333,0.9355854122748489,w/o Multi-scale
76-80,0.9665565837036769,0.9870938126408031,0.9698311070813197,0.9324838319007117,w/o Multi-scale
