Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	42	37	5	0.8571	0.9730	0.0000	0.7405	0.9597	0.9231	-0.0574
11-15	142	121	21	0.8662	0.9835	0.1905	0.8091	0.9624	0.9261	0.3070
16-20	111	84	27	0.8288	0.9643	0.4074	0.8329	0.9308	0.8950	0.4803
21-25	81	64	17	0.7901	0.8281	0.6471	0.8787	0.9679	0.8618	0.4350
26-30	77	47	30	0.8442	0.8723	0.8000	0.9546	0.9751	0.8723	0.6723
31-35	115	53	62	0.9217	0.9057	0.9355	0.9753	0.9744	0.9143	0.8424
36-40	137	60	77	0.9051	0.8333	0.9610	0.9846	0.9821	0.8850	0.8092
41-45	77	24	53	0.9221	0.8333	0.9623	0.9827	0.9684	0.8696	0.8157
46-50	75	21	54	0.9867	1.0000	0.9815	0.9982	0.9956	0.9767	0.9679
51-55	53	25	28	0.9623	0.9600	0.9643	0.9929	0.9916	0.9600	0.9243
56-60	44	27	17	0.9545	0.9630	0.9412	0.9913	0.9952	0.9630	0.9041
61-65	88	63	25	0.9545	0.9683	0.9200	0.9956	0.9983	0.9683	0.8883
66-70	87	46	41	0.9770	0.9565	1.0000	1.0000	1.0000	0.9778	0.9550
71-75	76	44	32	0.9474	0.9545	0.9375	0.9837	0.9866	0.9545	0.8920
76-80	81	43	38	0.9259	0.9767	0.8684	0.9920	0.9933	0.9333	0.8546
81-85	92	59	33	0.9348	0.9661	0.8788	0.9753	0.9839	0.9500	0.8573
86-90	90	39	51	0.9444	0.9231	0.9608	0.9899	0.9878	0.9351	0.8868
91-95	90	33	57	0.9556	0.9091	0.9825	0.9745	0.9727	0.9375	0.9041
96-100	100	32	68	0.9100	0.9062	0.9118	0.9485	0.9284	0.8657	0.8000
101-105	87	26	61	0.9195	0.8846	0.9344	0.9653	0.9583	0.8679	0.8104
106-110	76	27	49	0.9079	0.9259	0.8980	0.9864	0.9798	0.8772	0.8067
Overall	1821	975	846	0.9121	0.9313	0.8901	0.9745	0.9775	0.9190	0.8234
