Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	31	28	3	0.9355	1.0000	0.3333	0.5000	0.9054	0.9655	0.5578
11-15	124	107	17	0.8468	0.9533	0.1765	0.7905	0.9635	0.9148	0.1816
16-20	86	64	22	0.7674	0.8750	0.4545	0.8516	0.9519	0.8485	0.3534
21-25	105	82	23	0.8286	0.9146	0.5217	0.8415	0.9497	0.8929	0.4688
26-30	110	70	40	0.9000	0.9714	0.7750	0.9529	0.9667	0.9252	0.7835
31-35	111	53	58	0.9009	0.8679	0.9310	0.9766	0.9747	0.8932	0.8021
36-40	125	53	72	0.9520	0.9057	0.9861	0.9914	0.9898	0.9412	0.9027
41-45	71	18	53	0.9437	0.8889	0.9623	0.9769	0.9195	0.8889	0.8512
46-50	84	25	59	0.8214	0.8000	0.8305	0.9254	0.8338	0.7273	0.6016
51-55	69	30	39	0.8986	0.8333	0.9487	0.9726	0.9710	0.8772	0.7944
56-60	66	40	26	0.8636	0.8750	0.8462	0.9375	0.9650	0.8861	0.7167
61-65	102	76	26	0.9020	0.9211	0.8462	0.9777	0.9920	0.9333	0.7492
66-70	100	54	46	0.9100	0.9259	0.8913	0.9626	0.9782	0.9174	0.8187
71-75	68	36	32	0.7941	0.8333	0.7500	0.9253	0.9337	0.8108	0.5864
76-80	78	42	36	0.8974	0.9286	0.8611	0.9597	0.9734	0.9070	0.7939
81-85	82	51	31	0.8902	0.9020	0.8710	0.9450	0.9719	0.9109	0.7683
86-90	87	41	46	0.8736	0.8049	0.9348	0.9602	0.9530	0.8571	0.7497
91-95	86	38	48	0.9186	0.9474	0.8958	0.9600	0.9441	0.9114	0.8384
96-100	86	28	58	0.8605	0.7143	0.9310	0.9372	0.8814	0.7692	0.6742
101-105	68	30	38	0.8382	0.7000	0.9474	0.9404	0.9342	0.7925	0.6794
106-110	82	26	56	0.8780	0.7308	0.9464	0.9148	0.8865	0.7917	0.7112
Overall	1821	992	829	0.8775	0.8901	0.8625	0.9506	0.9550	0.8879	0.7530
