Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	41	35	6	0.8293	0.9714	0.0000	0.8524	0.9732	0.9067	-0.0655
11-15	128	101	27	0.8516	0.8812	0.7407	0.9080	0.9740	0.9036	0.5860
16-20	101	78	23	0.7822	0.8590	0.5217	0.8629	0.9587	0.8590	0.3807
21-25	87	63	24	0.8736	0.8889	0.8333	0.9358	0.9728	0.9106	0.6977
26-30	89	48	41	0.9213	0.9583	0.8780	0.9827	0.9849	0.9293	0.8428
31-35	125	57	68	0.9360	0.9123	0.9559	0.9925	0.9913	0.9286	0.8711
36-40	125	54	71	0.9280	0.8889	0.9577	0.9903	0.9885	0.9143	0.8533
41-45	93	24	69	0.9677	0.8750	1.0000	0.9982	0.9948	0.9333	0.9157
46-50	80	30	50	0.9625	0.9333	0.9800	0.9980	0.9967	0.9492	0.9198
51-55	52	22	30	0.9231	0.8636	0.9667	0.9727	0.9573	0.9048	0.8432
56-60	64	45	19	0.9844	0.9778	1.0000	1.0000	1.0000	0.9888	0.9638
61-65	101	67	34	0.9703	0.9701	0.9706	0.9991	0.9996	0.9774	0.9342
66-70	84	44	40	0.9881	1.0000	0.9750	0.9994	0.9995	0.9888	0.9764
71-75	70	38	32	0.9857	0.9737	1.0000	0.9992	0.9993	0.9867	0.9717
76-80	70	40	30	0.9857	1.0000	0.9667	0.9958	0.9968	0.9877	0.9711
81-85	87	53	34	0.9885	0.9811	1.0000	1.0000	1.0000	0.9905	0.9763
86-90	91	45	46	0.9560	0.9333	0.9783	0.9831	0.9886	0.9545	0.9129
91-95	85	32	53	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
96-100	95	29	66	0.9579	0.8966	0.9848	0.9969	0.9924	0.9286	0.8999
101-105	82	22	60	0.9756	0.9091	1.0000	0.9955	0.9891	0.9524	0.9380
106-110	70	13	57	0.9857	1.0000	0.9825	1.0000	1.0000	0.9630	0.9551
Overall	1820	940	880	0.9385	0.9309	0.9466	0.9883	0.9892	0.9398	0.8770
