Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	49	45	4	0.8367	0.8889	0.2500	0.8111	0.9825	0.9091	0.1160
11-15	134	107	27	0.8209	0.9159	0.4444	0.7864	0.9260	0.8909	0.3976
16-20	111	84	27	0.8198	0.9286	0.4815	0.8713	0.9583	0.8864	0.4671
21-25	78	60	18	0.8077	0.8667	0.6111	0.7796	0.9131	0.8739	0.4690
26-30	90	60	30	0.8667	0.9000	0.8000	0.9517	0.9781	0.9000	0.7000
31-35	116	55	61	0.9224	0.9273	0.9180	0.9809	0.9770	0.9189	0.8447
36-40	115	46	69	0.8870	0.8478	0.9130	0.9609	0.9560	0.8571	0.7638
41-45	87	29	58	0.8506	0.6552	0.9483	0.9489	0.9130	0.7451	0.6545
46-50	77	21	56	0.8442	0.7143	0.8929	0.9099	0.8073	0.7143	0.6071
51-55	54	21	33	0.8704	0.8571	0.8788	0.9264	0.9177	0.8372	0.7302
56-60	67	39	28	0.8657	0.8718	0.8571	0.9643	0.9759	0.8831	0.7256
61-65	82	57	25	0.9390	0.9123	1.0000	0.9965	0.9985	0.9541	0.8719
66-70	96	58	38	0.9479	0.9310	0.9737	0.9719	0.9851	0.9558	0.8944
71-75	89	46	43	0.9101	0.9348	0.8837	0.9515	0.9663	0.9149	0.8206
76-80	92	50	42	0.8587	0.8200	0.9048	0.9571	0.9697	0.8632	0.7222
81-85	87	51	36	0.8851	0.9412	0.8056	0.9521	0.9646	0.9057	0.7627
86-90	87	40	47	0.8966	0.8750	0.9149	0.9830	0.9815	0.8861	0.7916
91-95	71	29	42	0.9155	0.8276	0.9762	0.9680	0.9637	0.8889	0.8272
96-100	89	32	57	0.8764	0.6875	0.9825	0.9046	0.8886	0.8000	0.7344
101-105	71	23	48	0.8592	0.7391	0.9167	0.9502	0.9105	0.7727	0.6724
106-110	78	23	55	0.8205	0.6087	0.9091	0.8806	0.7495	0.6667	0.5500
Overall	1820	976	844	0.8720	0.8689	0.8756	0.9447	0.9529	0.8792	0.7433
