Range	N_total	Folds	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	189	5	0.8689±0.0403	0.9530±0.0362	0.2238±0.1160	0.8224±0.0609	0.9682±0.0301	0.9267±0.0258	0.2104±0.1375
11-15	677	5	0.8308±0.0193	0.9228±0.0225	0.3669±0.0879	0.7958±0.0345	0.9461±0.0158	0.9007±0.0124	0.3275±0.0850
16-20	539	5	0.8274±0.0263	0.9162±0.0164	0.5730±0.1290	0.8888±0.0191	0.9600±0.0086	0.8875±0.0150	0.5237±0.0897
21-25	424	5	0.8155±0.0271	0.8905±0.0393	0.6203±0.1255	0.8522±0.0414	0.9358±0.0172	0.8757±0.0161	0.5248±0.0804
26-30	459	5	0.8606±0.0251	0.9353±0.0427	0.7454±0.0920	0.9536±0.0074	0.9731±0.0055	0.8936±0.0220	0.7067±0.0342
31-35	622	5	0.9226±0.0152	0.9218±0.0203	0.9242±0.0278	0.9794±0.0072	0.9797±0.0075	0.9187±0.0151	0.8451±0.0291
36-40	619	5	0.9153±0.0253	0.8715±0.0160	0.9456±0.0293	0.9768±0.0111	0.9737±0.0111	0.8964±0.0268	0.8254±0.0503
41-45	405	5	0.8875±0.0216	0.7913±0.0883	0.9306±0.0299	0.9573±0.0071	0.9306±0.0140	0.8181±0.0387	0.7411±0.0444
46-50	400	5	0.9103±0.0432	0.8942±0.1079	0.9162±0.0248	0.9662±0.0330	0.9320±0.0714	0.8495±0.0776	0.7878±0.1085
51-55	278	5	0.8919±0.0536	0.8749±0.0458	0.9042±0.0680	0.9599±0.0198	0.9552±0.0230	0.8713±0.0646	0.7793±0.1103
56-60	289	5	0.8980±0.0290	0.9096±0.0375	0.8771±0.0615	0.9744±0.0123	0.9846±0.0090	0.9164±0.0305	0.7808±0.0491
61-65	494	5	0.9447±0.0247	0.9419±0.0245	0.9536±0.0507	0.9880±0.0108	0.9959±0.0039	0.9607±0.0182	0.8692±0.0564
66-70	434	5	0.9340±0.0233	0.9125±0.0389	0.9601±0.0252	0.9813±0.0119	0.9865±0.0074	0.9321±0.0268	0.8679±0.0451
71-75	386	5	0.9076±0.0312	0.9334±0.0149	0.8762±0.0752	0.9605±0.0159	0.9610±0.0312	0.9181±0.0267	0.8138±0.0617
76-80	389	5	0.8599±0.0339	0.8508±0.0419	0.8747±0.0426	0.9336±0.0295	0.9448±0.0320	0.8671±0.0404	0.7199±0.0655
81-85	426	5	0.8865±0.0291	0.9311±0.0095	0.8217±0.0863	0.9561±0.0190	0.9609±0.0313	0.9056±0.0202	0.7654±0.0650
86-90	436	5	0.9036±0.0128	0.8576±0.0506	0.9408±0.0358	0.9642±0.0162	0.9643±0.0118	0.8874±0.0123	0.8078±0.0197
91-95	413	5	0.9195±0.0178	0.8629±0.0346	0.9556±0.0227	0.9661±0.0099	0.9614±0.0135	0.8939±0.0283	0.8308±0.0408
96-100	452	5	0.8729±0.0254	0.7238±0.0337	0.9471±0.0254	0.9309±0.0294	0.8978±0.0258	0.7883±0.0331	0.7053±0.0508
101-105	395	5	0.8758±0.0308	0.7560±0.0620	0.9322±0.0156	0.9494±0.0233	0.9025±0.0376	0.7842±0.0339	0.7001±0.0433
106-110	378	5	0.8692±0.0338	0.6740±0.0960	0.9499±0.0259	0.9284±0.0276	0.8597±0.0764	0.7425±0.0736	0.6669±0.0894
Overall	9104	5	0.8863±0.0135	0.8922±0.0121	0.8802±0.0232	0.9556±0.0076	0.9607±0.0058	0.8925±0.0130	0.7722±0.0268
