Range	N_total	Folds	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	189	5	0.8903±0.0839	0.9656±0.0422	0.3619±0.2063	0.7696±0.1510	0.9575±0.0363	0.9377±0.0507	0.4405±0.2878
11-15	677	5	0.8347±0.0161	0.9366±0.0165	0.3185±0.0786	0.8413±0.0267	0.9654±0.0049	0.9040±0.0116	0.3069±0.0647
16-20	539	5	0.8075±0.0504	0.9178±0.0491	0.4927±0.0464	0.8691±0.0305	0.9528±0.0113	0.8753±0.0347	0.4688±0.1360
21-25	424	5	0.8136±0.0168	0.9178±0.0321	0.5377±0.0550	0.8659±0.0304	0.9448±0.0213	0.8774±0.0139	0.4999±0.0349
26-30	459	5	0.8758±0.0313	0.8950±0.0449	0.8434±0.0588	0.9379±0.0281	0.9585±0.0186	0.9005±0.0247	0.7361±0.0687
31-35	622	5	0.9150±0.0170	0.9046±0.0334	0.9247±0.0145	0.9777±0.0019	0.9753±0.0062	0.9085±0.0231	0.8292±0.0353
36-40	619	5	0.9123±0.0328	0.8425±0.0453	0.9628±0.0243	0.9799±0.0106	0.9687±0.0241	0.8895±0.0370	0.8211±0.0638
41-45	405	5	0.9002±0.0384	0.7866±0.0832	0.9563±0.0187	0.9664±0.0158	0.9375±0.0246	0.8349±0.0639	0.7680±0.0879
46-50	400	5	0.8850±0.0348	0.8412±0.0788	0.9037±0.0413	0.9513±0.0194	0.8936±0.0505	0.8049±0.0508	0.7275±0.0730
51-55	278	5	0.8617±0.0352	0.8575±0.0245	0.8656±0.0644	0.9437±0.0199	0.9250±0.0374	0.8401±0.0341	0.7216±0.0667
56-60	289	5	0.9097±0.0287	0.9081±0.0370	0.9039±0.0375	0.9741±0.0186	0.9855±0.0107	0.9251±0.0282	0.8062±0.0500
61-65	494	5	0.9375±0.0331	0.9445±0.0391	0.9239±0.0528	0.9873±0.0054	0.9951±0.0020	0.9565±0.0232	0.8484±0.0816
66-70	434	5	0.9339±0.0277	0.9271±0.0176	0.9399±0.0416	0.9746±0.0116	0.9805±0.0087	0.9356±0.0221	0.8649±0.0568
71-75	386	5	0.8648±0.0394	0.9050±0.0381	0.8137±0.0415	0.9562±0.0172	0.9587±0.0214	0.8806±0.0393	0.7247±0.0770
76-80	389	5	0.9095±0.0235	0.9280±0.0190	0.8875±0.0268	0.9623±0.0174	0.9633±0.0312	0.9161±0.0291	0.8162±0.0443
81-85	426	5	0.8818±0.0290	0.9146±0.0154	0.8392±0.0513	0.9541±0.0174	0.9692±0.0144	0.8994±0.0260	0.7577±0.0572
86-90	436	5	0.9131±0.0338	0.8659±0.0577	0.9509±0.0331	0.9707±0.0150	0.9651±0.0206	0.8963±0.0440	0.8244±0.0707
91-95	413	5	0.9365±0.0177	0.9118±0.0311	0.9504±0.0342	0.9742±0.0072	0.9688±0.0126	0.9205±0.0176	0.8685±0.0341
96-100	452	5	0.8855±0.0444	0.7515±0.0719	0.9522±0.0227	0.9253±0.0343	0.8870±0.0341	0.8127±0.0607	0.7360±0.0904
101-105	395	5	0.8796±0.0470	0.8071±0.0888	0.9194±0.0350	0.9442±0.0236	0.8794±0.0601	0.8070±0.0653	0.7228±0.0966
106-110	378	5	0.9086±0.0227	0.7953±0.0704	0.9575±0.0112	0.9413±0.0171	0.8897±0.0518	0.8306±0.0438	0.7719±0.0534
Overall	9104	5	0.8876±0.0098	0.8969±0.0142	0.8773±0.0107	0.9574±0.0052	0.9599±0.0056	0.8941±0.0100	0.7744±0.0198
